node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status
NO1_3,NO1_3 fossil_gas,fossil_gas,3.9829699835730414,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_3,NO1_3 biomass,biomass,19.34585421,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_3,NO2 13 onwind,wind_on,231.0122590472364,0,0.015,1,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_3,NO2 13 hydro,hydro,797.7319881384863,0,0,0.46,inflow_NO1,3371299.5932386094,10,hydro,const,0.6,0,0,5,,,,updated
NO1_3,NO2 13 solar,solar,9.672927103,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_3,NO1_3 ror,ror,1478.8198553294762,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 solar,solar,0.9191223999821481,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 ror,ror,140.51759515021192,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 fossil_gas,fossil_gas,0.37846216469853156,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO1_4 biomass,biomass,1.8382447999642961,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_4,NO2 10 onwind,wind_on,21.95080555251483,0,0.015,1,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_4,NO2 10 hydro,hydro,75.80056498676304,0,0,0.46,inflow_NO1,320341.18940554274,10,hydro,const,0.6,0,0,5,,,,updated
NO1_5,NO1_5 biomass,biomass,3.4382806528059273,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_5,NO2 17 onwind,wind_on,41.05711603,0,0.015,1,windon_NO1,0,1,const,const,0.6,0,0,0,,,,updated
NO1_5,NO1_5 ror,ror,262.8262181365472,0,0,0.46,inflow_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO1_5,NO1_5 hydro,hydro,141.77851397746795,0,0,0.46,inflow_NO1,599170.9667022093,10,const,const,0.6,0,0,0,,,,created
NO1_5,NO1_5 fossil_gas,fossil_gas,0.7078813108718086,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO1_5,NO1_5 solar,solar,1.7191403264029637,0,0.01,1,solar_NO1,0,1,const,const,0.6,0,0,0,,,,created
NO2_1,NO2_1 ror,ror,872.8815617340443,0,0,0.46,inflow_NO2,0,1,const,const,0.6,0,0,0,,,,created
NO2_1,NO2_1 wind_off,wind_off,3.4546763657020225,0,0,1,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created
NO2_1,NO2_1 fossil_gas,fossil_gas,13.242926068524419,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_1,NO2_1 biomass,biomass,12.66714667424075,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_1,NO2 1 hydro,hydro,5984.075244790187,0,0,0.46,inflow_NO2,19479192.688010853,10,hydro,const,0.6,0,0,5,,,,updated
NO2_1,NO2 1 solar,solar,10.67560609,0,0.01,1,solar_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_1,NO2 1 onwind,wind_on,833.1527835284711,0,0.015,1,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_2,NO2 6 hydro,hydro,393.6362979074322,0,0,0.46,inflow_NO2,1281353.7568080765,10,hydro,const,0.6,0,0,5,,,,updated
NO2_2,NO2_2 biomass,biomass,0.833253012,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_2,NO2_2 fossil_gas,fossil_gas,0.8711281489339884,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_2,NO2 6 onwind,wind_on,54.80532310902092,0,0.015,1,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_2,NO2_2 ror,ror,57.418707555822884,0,0,0.46,inflow_NO2,0,1,const,const,0.6,0,0,0,,,,created
NO2_2,NO2_2 wind_off,wind_off,0.22725082146104042,0,0,1,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created
NO2_3,NO2_3 biomass,biomass,1.9269789284447887,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_3,NO2_3 fossil_gas,fossil_gas,2.014568879737734,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_3,NO2_3 wind_off,wind_off,0.5255397077576697,0,0,1,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created
NO2_3,NO2_3 ror,ror,132.78636616010454,0,0,0.46,inflow_NO2,0,1,const,const,0.6,0,0,0,,,,created
NO2_3,NO2 3 onwind,wind_on,126.74265952089134,0,0.015,1,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_3,NO2 3 hydro,hydro,910.3223637875768,0,0,0.46,inflow_NO2,2963255.6421916205,10,hydro,const,0.6,0,0,5,,,,updated
NO2_4,NO2_4 biomass,biomass,4.296969472397147,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_4,NO2_4 fossil_gas,fossil_gas,4.492286266597017,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_4,NO2_4 wind_off,wind_off,1.171900765199222,0,0,1,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created
NO2_4,NO2_4 ror,ror,296.10026000700344,0,0,0.46,inflow_NO2,0,1,const,const,0.6,0,0,0,,,,created
NO2_4,NO2 11 onwind,wind_on,282.6234012072124,0,0.015,1,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_4,NO2 11 hydro,hydro,2029.9274421192524,0,0,0.46,inflow_NO2,6607762.464575813,10,hydro,const,0.6,0,0,5,,,,updated
NO2_5,NO2 16 onwind,wind_on,149.67583263440423,0,0.015,1,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated
NO2_5,NO2_5 biomass,biomass,2.275651912893499,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_5,NO2_5 wind_off,wind_off,0.6206323398800452,0,0,1,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created
NO2_5,NO2_5 fossil_gas,fossil_gas,2.379090636,0,45,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO2_5,NO2 16 hydro,hydro,1075.0386513955516,0,0,0.46,inflow_NO2,3499435.4484136347,10,hydro,const,0.6,0,0,5,,,,updated
NO2_5,NO2_5 ror,ror,156.81310454302474,0,0,0.46,inflow_NO2,0,1,const,const,0.6,0,0,0,,,,created
NO3_1,NO2 14 onwind,wind_on,491.75681003650277,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_1,NO3_1 biomass,biomass,16.93313543993618,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO3_1,NO2 14 hydro,hydro,807.6873644090107,0,0,0.46,inflow_NO3,2107595.4603734263,10,hydro,const,0.6,0,0,5,,,,updated
NO3_1,NO3_1 ror,ror,347.94113917677083,0,0,0.46,inflow_NO3,0,1,const,const,0.6,0,0,0,,,,created
NO3_1,NO2 14 solar,solar,14.30486743,0,0.01,1,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated
NO3_2,NO3_2 biomass,biomass,12.755267903338057,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created
NO3_2,NO2 0 onwind,wind_on,370.4269582887216,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated
