Kolonne1,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,gen_lat,gen_lon,year,status,source
164,NO2_2,NO2_2 wind_off,wind_off,0.227250821,0,0.015,0.8,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created,
165,NO2_3,NO2_3 biomass,biomass,1.926978928,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
166,NO2_3,NO2_3 fossil_gas,fossil_gas,2.01456888,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
167,NO2_3,NO2_3 wind_off,wind_off,0.525539708,0,0.015,0.8,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created,
168,NO2_3,NO2_3 ror,ror,132.7863662,0,0,0.46,inflow_NO2,0,15,ror,const,0.6,0,0,0,,,,created,
169,NO2_3,NO2_3 wind_on,wind_on,126.7426595,0,0.015,0.8,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
170,NO2_3,NO2_3 hydro,hydro,910.3223638,0,0,0.46,inflow_NO2,2978145.934,15,hydro,const,0.6,0,0,5,,,,updated,
171,NO2_4,NO2_4 biomass,biomass,4.296969472,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
172,NO2_4,NO2_4 fossil_gas,fossil_gas,4.492286267,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
173,NO2_4,NO2_4 wind_off,wind_off,1.171900765,0,0.015,0.8,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created,
174,NO2_4,NO2_4 ror,ror,296.10026,0,0,0.46,inflow_NO2,0,15,ror,const,0.6,0,0,0,,,,created,
175,NO2_4,NO2_4 wind_on,wind_on,282.6234012,0,0.015,0.8,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
176,NO2_4,NO2_4 hydro,hydro,2029.927442,0,0,0.46,inflow_NO2,6640966.32,15,hydro,const,0.6,0,0,5,,,,updated,
177,NO2_5,NO2_5 wind_on,wind_on,149.6758326,0,0.015,0.8,windon_NO2,0,1,const,const,0.6,0,0,0,,,,updated,
178,NO2_5,NO2_5 biomass,biomass,2.275651913,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
179,NO2_5,NO2_5 wind_off,wind_off,0.62063234,0,0.015,0.8,windoff_Nordavind A,0,1,const,const,0.6,0,0,0,,,,created,
180,NO2_5,NO2_5 fossil_gas,fossil_gas,2.379090636,0,137.52,1,const,0,1,const,const,0.6,0,0,0,,,,created,
181,NO2_5,NO2_5 hydro,hydro,1075.038651,0,0,0.46,inflow_NO2,3517020.031,15,hydro,const,0.6,0,0,5,,,,updated,
182,NO2_5,NO2_5 ror,ror,156.8131045,0,0,0.46,inflow_NO2,0,15,ror,const,0.6,0,0,0,,,,created,
183,NO3_1,NO3_1 wind_on,wind_on,491.75681,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated,
184,NO3_1,NO3_1 biomass,biomass,16.93313544,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
185,NO3_1,NO3_1 hydro,hydro,807.6873644,0,0,0.46,inflow_NO3,2114554.283,12.5,hydro,const,0.6,0,0,5,,,,updated,
186,NO3_1,NO3_1 ror,ror,347.9411392,0,0,0.46,inflow_NO3,0,12.5,ror,const,0.6,0,0,0,,,,created,
187,NO3_1,NO3_1 solar,solar,14.30486743,0,0.01,0.8,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated,
188,NO3_2,NO3_2 biomass,biomass,12.7552679,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
189,NO3_2,NO3_2 wind_on,wind_on,370.4269583,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated,
190,NO3_2,NO3_2 ror,ror,262.094546,0,0,0.46,inflow_NO3,0,12.5,ror,const,0.6,0,0,0,,,,created,
191,NO3_2,NO3_2 hydro,hydro,608.408806,0,0,0.46,inflow_NO3,1592835.921,12.5,hydro,const,0.6,0,0,5,,,,updated,
192,NO3_3,NO3_3 hydro,hydro,910.7849372,0,0,0.46,inflow_NO3,2384467.4,12.5,hydro,const,0.6,0,0,5,,,,updated,
193,NO3_3,NO3_3 solar,solar,11.50988071,0,0.01,0.8,solar_NO3,0,1,const,const,0.6,0,0,0,,,,updated,
194,NO3_3,NO3_3 ror,ror,392.3542234,0,0,0.46,inflow_NO3,0,12.5,ror,const,0.6,0,0,0,,,,created,
195,NO3_3,NO3_3 biomass,biomass,19.0945722,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
196,NO3_3,NO3_3 wind_on,wind_on,554.5273024,0,0.015,1,windon_NO3,0,1,const,const,0.6,0,0,0,,,,updated,
197,NO3_4,NO3_4 biomass,biomass,17.40413445,0,15,1,const,0,1,const,const,0.6,0,0,0,,,,created,
